asin,Product Description
6073894996,"This Is a Dual Car Usb Charger.... It Has 2 ports....one for charging iphone,ipad etc and another for charging nokia,samsung,htc mobiles etc... It has a blue indicator which will show that the charger is working.....It is made of high quality.....Black in colour This adapter plugs into your car's cigarette lighter jack to become a powered USB port 2.1 Amps powerful enought to charge two 3rd generation iPads Patented circuit board designed to protect your valuable gadgets from short circuits Two USB ports for any application Input: DC12~24V"
8199406933,This new RIM BlackBerry Folding Blade travel charger is lightweight and compact. It's the perfect accessory for people that are always on the go. This smart designed charger opens and closes quickly and is so small and lightweight it can fit anywhere in your bag or pocket.
8288878881,Safely charge your phone using the original authentic brand! Using the authentic OEM brand will ensure your phones warranty is never voided! Samsung s quick charging technology allows you to use your mobile phone while it is charging. The compact and durable design makes it convenient to charge your battery while home or on the go. With detachable USB to Micro USB Cable.
9861203192,No description
9983744066,Samsung SPH-M910 Phone Charging USB 2.0 Data Cable! This professional grade custom cable outperforms the original!
9985537742,HTC Fender MyTouch Phone Charging USB 2.0 Data Cable! This professional grade custom cable outperforms the original!
998554627X,No description
9985612272,"Samsung uses the latest Lithium Ion battery technology giving you the best performance possible. This Lithium Ion battery is designed specifically for your Samsung Galaxy S II Hercules T989/Skyrocket I727 mobile phone to deliver the most reliable and long lasting power (2100 mAh). The Galaxy S II Hercules T989/Skyrocket I727 1850 mAh battery is also NFC-enabled, letting your phone communicate with other devices and accessories equipped with NFC technology. OEM Part Numbers: EB-L1D7IBA / EB-L1D7IBAB / EB-L1D7IBABSTD / EBL1D7IBA. Compatible with the Samsung Galaxy S II LTE i727R, Samsung Galaxy S II Skyrocket i727, Samsung Galaxy Nexus Sprint SPH-L700, Samsung Galaxy S II (T-Mobile) T989, Samsung Galaxy Rugby LTE i547C and Samsung Rugby Pro i547 phone models."
B00001W0EQ,No description
B00004WINT,"Channels sound directly into ear canal / Provides hours of comfortable wear / Helps provide clearer calls, less external noise / Universally compatible"
B000056PYW,"If you own a cordless phone with a 2.5mm headphone jack, and you want to add handsfree capabilities, then you want the Jabra EarBoom. It's a flexible mini-boom microphone and earpiece. The mini-boom is significant because it's short enough to not get in your way while you go about your business. It also features Jabra's EarGel earpiece. The EarGel is specially made to fit snugly in your ear for a comfortable & secure fit."
